BkNo	Year	Day	hh	mm	ss	mss	ns	Azimuth(deg)	Elevation(deg	)Tv	Dv	TSn	RSn	DTp	STp	SId	BkCt	SRt	InTim
10	2016	240	17	6	27	0	0	162.34	1.55	0	3	f8	f0	8	4	4	290a	1	0
10	2016	240	17	6	28	0	0	162.34	1.55	0	3	f8	f0	8	4	4	290a	1	0
10	2016	240	17	6	29	0	0	162.34	1.55	0	3	f8	f0	8	4	4	290a	1	0
11	2016	240	17	6	30	0	0	162.34	1.55	0	3	f8	f0	8	4	4	290b	1	0
11	2016	240	17	6	31	0	0	162.34	1.57	0	3	f8	f0	8	4	4	290b	1	0
11	2016	240	17	6	32	0	0	162.31	1.6	0	3	f8	f0	8	4	4	290b	1	0
11	2016	240	17	6	33	0	0	162.3	1.61	0	3	f8	f0	8	4	4	290b	1	0
11	2016	240	17	6	34	0	0	162.29	1.63	0	3	f8	f0	8	4	4	290b	1	0
11	2016	240	17	6	35	0	0	162.27	1.65	0	3	f8	f0	8	4	4	290b	1	0
11	2016	240	17	6	36	0	0	162.24	1.68	0	3	f8	f0	8	4	4	290b	1	0
11	2016	240	17	6	37	0	0	162.24	1.69	0	3	f8	f0	8	4	4	290b	1	0
11	2016	240	17	6	38	0	0	162.24	1.71	0	3	f8	f0	8	4	4	290b	1	0
11	2016	240	17	6	39	0	0	162.24	1.73	0	3	f8	f0	8	4	4	290b	1	0
12	2016	240	17	6	40	0	0	162.2	1.75	0	3	f8	f0	8	4	4	290c	1	0
12	2016	240	17	6	41	0	0	162.19	1.8	0	3	f8	f0	8	4	4	290c	1	0
12	2016	240	17	6	42	0	0	162.19	1.88	0	3	f8	f0	8	4	4	290c	1	0
12	2016	240	17	6	43	0	0	162.18	1.95	0	3	f8	f0	8	4	4	290c	1	0
12	2016	240	17	6	44	0	0	162.17	2.02	0	3	f8	f0	8	4	4	290c	1	0
12	2016	240	17	6	45	0	0	162.15	2.08	0	3	f8	f0	8	4	4	290c	1	0
12	2016	240	17	6	46	0	0	162.13	2.14	0	3	f8	f0	8	4	4	290c	1	0
12	2016	240	17	6	47	0	0	162.13	2.2	0	3	f8	f0	8	4	4	290c	1	0
