BkNo	Year	Day	hh	mm	ss	mss	ns	Range (km)	RangCalib(km)	Tv	Dv	TSn	RSn	DTp	STp	SId	BkCt	SRt	InTim
13	2016	240	17	9	43	751	0	1950.010236	0	0	0	f8	f0	8	4	1	000d	1	1
13	2016	240	17	9	44	751	0	1943.697057	0	0	0	f8	f0	8	4	1	000d	1	1
13	2016	240	17	9	45	751	0	1937.389573	0	0	0	f8	f0	8	4	1	000d	1	1
13	2016	240	17	9	46	751	0	1931.086137	0	0	0	f8	f0	8	4	1	000d	1	1
13	2016	240	17	9	47	751	0	1924.787048	0	0	0	f8	f0	8	4	1	000d	1	1
13	2016	240	17	9	48	751	0	1918.491706	0	0	0	f8	f0	8	4	1	000d	1	1
13	2016	240	17	9	49	751	0	1912.20236	0	0	0	f8	f0	8	4	1	000d	1	1
14	2016	240	17	9	50	751	0	1905.918261	0	0	0	f8	f0	8	4	1	000e	1	1
14	2016	240	17	9	51	751	0	1899.638958	0	0	0	f8	f0	8	4	1	000e	1	1
14	2016	240	17	9	52	751	0	1893.363402	0	0	0	f8	f0	8	4	1	000e	1	1
14	2016	240	17	9	53	751	0	1887.093093	0	0	0	f8	f0	8	4	1	000e	1	1
14	2016	240	17	9	54	751	0	1880.82788	0	0	0	f8	f0	8	4	1	000e	1	1
14	2016	240	17	9	55	751	0	1874.567614	0	0	0	f8	f0	8	4	1	000e	1	1
14	2016	240	17	9	56	751	0	1868.313644	0	0	0	f8	f0	8	4	1	000e	1	1
14	2016	240	17	9	57	751	0	1862.063571	0	0	0	f8	f0	8	4	1	000e	1	1
14	2016	240	17	9	58	751	0	1855.819044	0	0	0	f8	f0	8	4	1	000e	1	1
14	2016	240	17	9	59	751	0	1849.580063	0	0	0	f8	f0	8	4	1	000e	1	1
15	2016	240	17	10	0	751	0	1843.346178	0	0	0	f8	f0	8	4	1	000f	1	1
15	2016	240	17	10	1	751	0	1837.11784	0	0	0	f8	f0	8	4	1	000f	1	1
15	2016	240	17	10	2	751	0	1830.895048	0	0	0	f8	f0	8	4	1	000f	1	1
15	2016	240	17	10	3	751	0	1824.677802	0	0	0	f8	f0	8	4	1	000f	1	1
15	2016	240	17	10	4	751	0	1818.465653	0	0	0	f8	f0	8	4	1	000f	1	1
15	2016	240	17	10	5	751	0	1812.260099	0	0	0	f8	f0	8	4	1	000f	1	1
15	2016	240	17	10	6	751	0	1806.059491	0	0	0	f8	f0	8	4	1	000f	1	1
15	2016	240	17	10	7	751	0	1799.86503	0	0	0	f8	f0	8	4	1	000f	1	1
15	2016	240	17	10	8	751	0	1793.676714	0	0	0	f8	f0	8	4	1	000f	1	1
15	2016	240	17	10	9	751	0	1787.494094	0	0	0	f8	f0	8	4	1	000f	1	1
16	2016	240	17	10	10	751	0	1781.31702	0	0	0	f8	f0	8	4	1	10	1	1
16	2016	240	17	10	11	751	0	1775.146992	0	0	0	f8	f0	8	4	1	10	1	1
16	2016	240	17	10	12	751	0	1768.982659	0	0	0	f8	f0	8	4	1	10	1	1
16	2016	240	17	10	13	751	0	1762.824023	0	0	0	f8	f0	8	4	1	10	1	1
16	2016	240	17	10	14	751	0	1756.671982	0	0	0	f8	f0	8	4	1	10	1	1
16	2016	240	17	10	15	751	0	1750.526536	0	0	0	f8	f0	8	4	1	10	1	1
16	2016	240	17	10	16	751	0	1744.387686	0	0	0	f8	f0	8	4	1	10	1	1
16	2016	240	17	10	17	751	0	1738.255281	0	0	0	f8	f0	8	4	1	10	1	1
16	2016	240	17	10	18	751	0	1732.129172	0	0	0	f8	f0	8	4	1	10	1	1
16	2016	240	17	10	19	751	0	1726.009959	0	0	0	f8	f0	8	4	1	10	1	1
17	2016	240	17	10	20	751	0	1719.89779	0	0	0	f8	f0	8	4	1	11	1	1
17	2016	240	17	10	21	751	0	1713.791767	0	0	0	f8	f0	8	4	1	11	1	1
17	2016	240	17	10	22	751	0	1707.692489	0	0	0	f8	f0	8	4	1	11	1	1
17	2016	240	17	10	23	751	0	1701.601007	0	0	0	f8	f0	8	4	1	11	1	1
17	2016	240	17	10	24	751	0	1695.516719	0	0	0	f8	f0	8	4	1	11	1	1
17	2016	240	17	10	25	751	0	1689.439176	0	0	0	f8	f0	8	4	1	11	1	1
17	2016	240	17	10	26	751	0	1683.368978	0	0	0	f8	f0	8	4	1	11	1	1
17	2016	240	17	10	27	751	0	1677.305976	0	0	0	f8	f0	8	4	1	11	1	1
17	2016	240	17	10	28	751	0	1671.250318	0	0	0	f8	f0	8	4	1	11	1	1
17	2016	240	17	10	29	751	0	1665.202605	0	0	0	f8	f0	8	4	1	11	1	1
18	2016	240	17	10	30	751	0	1659.162236	0	0	0	f8	f0	8	4	1	12	1	1
18	2016	240	17	10	31	751	0	1653.128763	0	0	0	f8	f0	8	4	1	12	1	1
18	2016	240	17	10	32	751	0	1647.103834	0	0	0	f8	f0	8	4	1	12	1	1
18	2016	240	17	10	33	751	0	1641.08685	0	0	0	f8	f0	8	4	1	12	1	1
18	2016	240	17	10	34	751	0	1635.07766	0	0	0	f8	f0	8	4	1	12	1	1
18	2016	240	17	10	35	751	0	1629.076864	0	0	0	f8	f0	8	4	1	12	1	1
