Year,Day,hh,mm,ss,mss,ns,RangeRate(km/s)
2016,240,17,10,50,700,0,-5.86316533
2016,240,17,10,51,700,0,-5.85334751
2016,240,17,10,52,700,0,-5.84341624
2016,240,17,10,53,700,0,-5.83334081
2016,240,17,10,54,700,0,-5.82317531
2016,240,17,10,55,700,0,-5.81286831
2016,240,17,10,56,700,0,-5.80243474
2016,240,17,10,57,700,0,-5.79185814
2016,240,17,10,58,700,0,-5.78116962
2016,240,17,10,59,700,0,-5.77034833
2016,240,17,11,0,700,0,-5.75940685
2016,240,17,11,1,700,0,-5.74828685
2016,240,17,11,2,700,0,-5.73706118
2016,240,17,11,3,700,0,-5.72568822
2016,240,17,11,4,700,0,-5.71418256
2016,240,17,11,5,700,0,-5.70253014
2016,240,17,11,6,700,0,-5.69071743
2016,240,17,11,7,700,0,-5.67878555
2016,240,17,11,8,700,0,-5.66671156
2016,240,17,11,9,700,0,-5.65445851
2016,240,17,11,10,700,0,-5.64207168
2016,240,17,11,11,700,0,-5.62950432
2016,240,17,11,12,700,0,-5.61680159
2016,240,17,11,13,700,0,-5.60394591
2016,240,17,11,14,700,0,-5.59091582
2016,240,17,11,15,700,0,-5.57771764
2016,240,17,11,16,700,0,-5.56436745
2016,240,17,11,17,700,0,-5.55084818
2016,240,17,11,18,700,0,-5.53716129
2016,240,17,11,19,700,0,-5.52328235
2016,240,17,11,20,700,0,-5.50925557
2016,240,17,11,21,700,0,-5.49504353
2016,240,17,11,22,700,0,-5.4806337
2016,240,17,11,23,700,0,-5.4660558
2016,240,17,11,24,700,0,-5.45131707
2016,240,17,11,25,700,0,-5.43637069
2016,240,17,11,26,700,0,-5.42122026
2016,240,17,11,27,700,0,-5.40590589
2016,240,17,11,28,700,0,-5.39037973
2016,240,17,11,29,700,0,-5.37466924
2016,240,17,11,30,700,0,-5.35874023
2016,240,17,11,31,700,0,-5.3426223
2016,240,17,11,32,700,0,-5.32630445
2016,240,17,11,33,700,0,-5.30975556
2016,240,17,11,34,700,0,-5.29301254
2016,240,17,11,35,700,0,-5.27605927
2016,240,17,11,36,700,0,-5.25889309
2016,240,17,11,37,700,0,-5.24150161
2016,240,17,11,38,700,0,-5.22389095
2016,240,17,11,39,700,0,-5.20605758
2016,240,17,11,40,700,0,-5.18798319
2016,240,17,11,41,700,0,-5.16970381
2016,240,17,11,42,700,0,-5.15116568
2016,240,17,11,43,700,0,-5.13241211
2016,240,17,11,44,700,0,-5.11341758
2016,240,17,11,45,700,0,-5.09415763
2016,240,17,11,46,700,0,-5.07467698
2016,240,17,11,47,700,0,-5.05492985
2016,240,17,11,48,700,0,-5.03494543
2016,240,17,11,49,700,0,-5.01470545
2016,240,17,11,50,700,0,-4.99421092
2016,240,17,11,51,700,0,-4.97345465
2016,240,17,11,52,700,0,-4.95242144
2016,240,17,11,53,700,0,-4.93112855
2016,240,17,11,54,700,0,-4.90956086
2016,240,17,11,55,700,0,-4.88772615
2016,240,17,11,56,700,0,-4.86562084
2016,240,17,11,57,700,0,-4.84321361
2016,240,17,11,58,700,0,-4.82053371
2016,240,17,11,59,700,0,-4.79757694
2016,240,17,12,0,700,0,-4.77432712
2016,240,17,12,1,700,0,-4.75075925
2016,240,17,12,2,700,0,-4.72691298
2016,240,17,12,3,700,0,-4.70276325
2016,240,17,12,4,700,0,-4.67830389
2016,240,17,12,5,700,0,-4.65356345
2016,240,17,12,6,700,0,-4.62847953
2016,240,17,12,7,700,0,-4.60310148
2016,240,17,12,8,700,0,-4.5773826
2016,240,17,12,9,700,0,-4.5513774
