Year,Day,hh,mm,ss,mss,ns,Range (km)
2016,240,17,11,18,751,0,1380.23398428
2016,240,17,11,19,751,0,1374.70476208
2016,240,17,11,20,751,0,1369.18858085
2016,240,17,11,21,751,0,1363.68708946
2016,240,17,11,22,751,0,1358.19923862
2016,240,17,11,23,751,0,1352.72607761
2016,240,17,11,24,751,0,1347.26790622
2016,240,17,11,25,751,0,1341.82442467
2016,240,17,11,26,751,0,1336.39578284
2016,240,17,11,27,751,0,1330.98183084
2016,240,17,11,28,751,0,1325.58466722
2016,240,17,11,29,751,0,1320.20234332
2016,240,17,11,30,751,0,1314.83545874
2016,240,17,11,31,751,0,1309.48566232
2016,240,17,11,32,751,0,1304.15085553
2016,240,17,11,33,751,0,1298.8335866
2016,240,17,11,34,751,0,1293.53190688
2016,240,17,11,35,751,0,1288.24731533
2016,240,17,11,36,751,0,1282.98101111
2016,240,17,11,37,751,0,1277.73119548
2016,240,17,11,38,751,0,1272.49831813
2016,240,17,11,39,751,0,1267.28402791
2016,240,17,11,40,751,0,1262.08772523
2016,240,17,11,41,751,0,1256.90911031
2016,240,17,11,42,751,0,1251.74923242
2016,240,17,11,43,751,0,1246.60869115
2016,240,17,11,44,751,0,1241.48613742
2016,240,17,11,45,751,0,1236.3829203
2016,240,17,11,46,751,0,1231.29918969
2016,240,17,11,47,751,0,1226.2347957
2016,240,17,11,48,751,0,1221.19018801
2016,240,17,11,49,751,0,1216.16656579
2016,240,17,11,50,751,0,1211.16257998
2016,240,17,11,51,751,0,1206.17898005
2016,240,17,11,52,751,0,1201.21666539
2016,240,17,11,53,751,0,1196.2753362
2016,240,17,11,54,751,0,1191.35574197
2016,240,17,11,55,751,0,1186.45758289
2016,240,17,11,56,751,0,1181.58160846
2016,240,17,11,57,751,0,1176.72751887
2016,240,17,11,58,751,0,1171.89651331
2016,240,17,11,59,751,0,1167.08769239
2016,240,17,12,0,751,0,1162.30225528
2016,240,17,12,1,751,0,1157.54080156
2016,240,17,12,2,751,0,1152.80258176
2016,240,17,12,3,751,0,1148.08864515
2016,240,17,12,4,751,0,1143.39794246
2016,240,17,12,5,751,0,1138.73272213
2016,240,17,12,6,751,0,1134.09223467
2016,240,17,12,7,751,0,1129.47692978
2016,240,17,12,8,751,0,1124.88725714
2016,240,17,12,9,751,0,1120.32351655
2016,240,17,12,10,751,0,1115.78585791
