BkNo	Year	Day	hh	mm	ss	mss	ns	RangeRate(km/s)		Tv	Dv	TSn	RSn	DTp	STp	SId	BkCt	SRt	InTim
11	2016	240	17	6	26	300	0	-2.71516999	0	0	0	f8	f0	8	4	3	000b	1	1
11	2016	240	17	6	27	300	0	-2.71528737	0	0	0	f8	f0	8	4	3	000b	1	1
12	2016	240	17	6	28	300	0	-2.71544919	0	0	0	f8	f0	8	4	3	000c	1	1
12	2016	240	17	6	29	300	0	-2.7154346	0	0	0	f8	f0	8	4	3	000c	1	1
12	2016	240	17	6	30	300	0	-2.71557177	0	0	0	f8	f0	8	4	3	000c	1	1
12	2016	240	17	6	31	300	0	-2.71556111	0	0	0	f8	f0	8	4	3	000c	1	1
12	2016	240	17	6	32	300	0	-2.71570008	0	0	0	f8	f0	8	4	3	000c	1	1
12	2016	240	17	6	33	300	0	-2.71514081	0	0	0	f8	f0	8	4	3	000c	1	1
12	2016	240	17	6	34	300	0	-2.71501983	0	0	0	f8	f0	8	4	3	000c	1	1
12	2016	240	17	6	35	300	0	-2.71524573	0	0	0	f8	f0	8	4	3	000c	1	1
13	2016	240	17	7	4	200	0	-3.68087402	0	0	0	f8	f0	8	4	3	000d	1	1
13	2016	240	17	7	5	200	0	-3.6805771	0	0	0	f8	f0	8	4	3	000d	1	1
13	2016	240	17	7	6	200	0	-3.68029477	0	0	0	f8	f0	8	4	3	000d	1	1
13	2016	240	17	7	7	200	0	-3.67999079	0	0	0	f8	f0	8	4	3	000d	1	1
13	2016	240	17	7	8	200	0	-3.67972019	0	0	0	f8	f0	8	4	3	000d	1	1
13	2016	240	17	7	9	200	0	-3.67942766	0	0	0	f8	f0	8	4	3	000d	1	1
13	2016	240	17	7	10	200	0	-3.67911335	0	0	0	f8	f0	8	4	3	000d	1	1
13	2016	240	17	7	11	200	0	-3.67879425	0	0	0	f8	f0	8	4	3	000d	1	1
13	2016	240	17	7	12	200	0	-3.67847734	0	0	0	f8	f0	8	4	3	000d	1	1
13	2016	240	17	7	13	200	0	-3.67814891	0	0	0	f8	f0	8	4	3	000d	1	1
14	2016	240	17	7	14	200	0	-3.67783114	0	0	0	f8	f0	8	4	3	000e	1	1
14	2016	240	17	7	15	200	0	-3.67748352	0	0	0	f8	f0	8	4	3	000e	1	1
14	2016	240	17	7	16	200	0	-3.67713637	0	0	0	f8	f0	8	4	3	000e	1	1
14	2016	240	17	7	17	200	0	-3.67680221	0	0	0	f8	f0	8	4	3	000e	1	1
14	2016	240	17	7	18	200	0	-3.67646312	0	0	0	f8	f0	8	4	3	000e	1	1
