BkNo,Year,Day,hh,mm,ss,mss,RANGE,Azimuth,Elev,range rate,Az rate,El rate
2016,2016,240,17,10,3,751,1824.677802,157.93,19.54,-6.21459907,-0.04,0.13
2016,2016,240,17,10,4,751,1818.465653,157.89,19.67,-6.20893496,-0.04,0.13
2016,2016,240,17,10,5,751,1812.260099,157.85,19.8,-6.20323135,-0.02,0.13
2016,2016,240,17,10,6,751,1806.059491,157.83,19.93,-6.19746478,-0.04,0.13
2016,2016,240,17,10,7,751,1799.86503,157.79,20.06,-6.19162839,-0.05,0.13
2016,2016,240,17,10,8,751,1793.676714,157.74,20.19,-6.18570933,-0.05,0.14
2016,2016,240,17,10,9,751,1787.494094,157.69,20.33,-6.17973192,-0.04,0.13
2016,2016,240,17,10,10,751,1781.31702,157.65,20.46,-6.17368375,-0.03,0.14
2016,2016,240,17,10,11,751,1775.146992,157.62,20.6,-6.16754399,-0.05,0.13
2016,2016,240,17,10,12,751,1768.982659,157.57,20.73,-6.16137092,-0.05,0.14
2016,2016,240,17,10,13,751,1762.824023,157.52,20.87,-6.15512184,-0.03,0.14
2016,2016,240,17,10,14,751,1756.671982,157.49,21.01,-6.14877336,-0.04,0.13
2016,2016,240,17,10,15,751,1750.526536,157.45,21.14,-6.14237652,-0.04,0.14
2016,2016,240,17,10,16,751,1744.387686,157.41,21.28,-6.13589587,-0.06,0.13
2016,2016,240,17,10,17,751,1738.255281,157.35,21.41,-6.12932568,-0.04,0.13
2016,2016,240,17,10,18,751,1732.129172,157.31,21.54,-6.12269248,-0.03,0.13
2016,2016,240,17,10,19,751,1726.009959,157.28,21.67,-6.11597088,-0.05,0.14
2016,2016,240,17,10,20,751,1719.89779,157.23,21.81,-6.10918678,-0.06,0.14
2016,2016,240,17,10,21,751,1713.791767,157.17,21.95,-6.10233141,-0.05,0.14
2016,2016,240,17,10,22,751,1707.692489,157.12,22.09,-6.09537397,-0.03,0.15
2016,2016,240,17,10,23,751,1701.601007,157.09,22.24,-6.08832394,-0.04,0.13
