BkNo,Year,Day,hh,mm,ss,mss,ns,Azimuth(deg),Elevation(deg)Tv,DvTSnRSnDTpSTpSId,BkCtSRtInTim,,,,,,,,
16,2016,252,12,23,13,0,0,155.9,6.06,0,3,f9,f0,18,4,4,0,1,0
16,2016,252,12,23,14,0,0,155.85,6.14,0,3,f9,f0,18,4,4,0,1,0
16,2016,252,12,23,15,0,0,155.8,6.23,0,3,f9,f0,18,4,4,0,1,0
16,2016,252,12,23,16,0,0,155.76,6.31,0,3,f9,f0,18,4,4,0,1,0
16,2016,252,12,23,17,0,0,155.72,6.39,0,3,f9,f0,18,4,4,0,1,0
16,2016,252,12,23,18,0,0,155.66,6.47,0,3,f9,f0,18,4,4,0,1,0
16,2016,252,12,23,19,0,0,155.63,6.56,0,3,f9,f0,18,4,4,0,1,0
16,2016,252,12,23,20,0,0,155.58,6.65,0,3,f9,f0,18,4,4,0,1,0
16,2016,252,12,23,21,0,0,155.53,6.73,0,3,f9,f0,18,4,4,0,1,0
16,2016,252,12,23,22,0,0,155.48,6.81,0,3,f9,f0,18,4,4,0,1,0
17,2016,252,12,23,23,0,0,155.43,6.9,0,3,f9,f0,18,4,4,0,1,0
17,2016,252,12,23,24,0,0,155.38,6.99,0,3,f9,f0,18,4,4,0,1,0
17,2016,252,12,23,25,0,0,155.33,7.07,0,3,f9,f0,18,4,4,0,1,0
17,2016,252,12,23,26,0,0,155.29,7.16,0,3,f9,f0,18,4,4,0,1,0
17,2016,252,12,23,27,0,0,155.24,7.24,0,3,f9,f0,18,4,4,0,1,0
17,2016,252,12,23,28,0,0,155.19,7.33,0,3,f9,f0,18,4,4,0,1,0
17,2016,252,12,23,29,0,0,155.13,7.41,0,3,f9,f0,18,4,4,0,1,0
17,2016,252,12,23,30,0,0,155.09,7.5,0,3,f9,f0,18,4,4,0,1,0
17,2016,252,12,23,31,0,0,155.04,7.59,0,3,f9,f0,18,4,4,0,1,0
17,2016,252,12,23,32,0,0,154.99,7.68,0,3,f9,f0,18,4,4,0,1,0
18,2016,252,12,23,33,0,0,154.93,7.77,0,3,f9,f0,18,4,4,0,1,0
18,2016,252,12,23,34,0,0,154.89,7.87,0,3,f9,f0,18,4,4,0,1,0
18,2016,252,12,23,35,0,0,154.83,7.96,0,3,f9,f0,18,4,4,0,1,0
18,2016,252,12,23,36,0,0,154.77,8.05,0,3,f9,f0,18,4,4,0,1,0
18,2016,252,12,23,37,0,0,154.73,8.13,0,3,f9,f0,18,4,4,0,1,0
18,2016,252,12,23,38,0,0,154.68,8.23,0,3,f9,f0,18,4,4,0,1,0
18,2016,252,12,23,39,0,0,154.62,8.32,0,3,f9,f0,18,4,4,0,1,0
18,2016,252,12,23,40,0,0,154.57,8.41,0,3,f9,f0,18,4,4,0,1,0
18,2016,252,12,23,41,0,0,154.52,8.51,0,3,f9,f0,18,4,4,0,1,0
18,2016,252,12,23,42,0,0,154.46,8.6,0,3,f9,f0,18,4,4,0,1,0
19,2016,252,12,23,43,0,0,154.4,8.69,0,3,f9,f0,18,4,4,0,1,0
19,2016,252,12,23,44,0,0,154.35,8.79,0,3,f9,f0,18,4,4,0,1,0
19,2016,252,12,23,45,0,0,154.29,8.88,0,3,f9,f0,18,4,4,0,1,0
19,2016,252,12,23,46,0,0,154.23,8.97,0,3,f9,f0,18,4,4,0,1,0
19,2016,252,12,23,47,0,0,154.18,9.07,0,3,f9,f0,18,4,4,0,1,0
19,2016,252,12,23,48,0,0,154.12,9.16,0,3,f9,f0,18,4,4,0,1,0
19,2016,252,12,23,49,0,0,154.06,9.26,0,3,f9,f0,18,4,4,0,1,0
19,2016,252,12,23,50,0,0,154.01,9.35,0,3,f9,f0,18,4,4,0,1,0
19,2016,252,12,23,51,0,0,153.95,9.45,0,3,f9,f0,18,4,4,0,1,0
19,2016,252,12,23,52,0,0,153.88,9.55,0,3,f9,f0,18,4,4,0,1,0
20,2016,252,12,23,53,0,0,153.83,9.65,0,3,f9,f0,18,4,4,0,1,0
20,2016,252,12,23,54,0,0,153.77,9.75,0,3,f9,f0,18,4,4,0,1,0
20,2016,252,12,23,55,0,0,153.7,9.85,0,3,f9,f0,18,4,4,0,1,0
20,2016,252,12,23,56,0,0,153.65,9.94,0,3,f9,f0,18,4,4,0,1,0
20,2016,252,12,23,57,0,0,153.59,10.04,0,3,f9,f0,18,4,4,0,1,0
20,2016,252,12,23,58,0,0,153.52,10.15,0,3,f9,f0,18,4,4,0,1,0
20,2016,252,12,23,59,0,0,153.46,10.24,0,3,f9,f0,18,4,4,0,1,0
20,2016,252,12,24,0,0,0,153.4,10.34,0,3,f9,f0,18,4,4,0,1,0
20,2016,252,12,24,1,0,0,153.33,10.44,0,3,f9,f0,18,4,4,0,1,0
20,2016,252,12,24,2,0,0,153.27,10.55,0,3,f9,f0,18,4,4,0,1,0
21,2016,252,12,24,3,0,0,153.2,10.65,0,3,f9,f0,18,4,4,0,1,0
21,2016,252,12,24,4,0,0,153.13,10.75,0,3,f9,f0,18,4,4,0,1,0
21,2016,252,12,24,5,0,0,153.07,10.86,0,3,f9,f0,18,4,4,0,1,0
21,2016,252,12,24,6,0,0,153,10.96,0,3,f9,f0,18,4,4,0,1,0
21,2016,252,12,24,7,0,0,152.93,11.07,0,3,f9,f0,18,4,4,0,1,0
21,2016,252,12,24,8,0,0,152.86,11.17,0,3,f9,f0,18,4,4,0,1,0
21,2016,252,12,24,9,0,0,152.79,11.27,0,3,f9,f0,18,4,4,0,1,0
21,2016,252,12,24,10,0,0,152.73,11.38,0,3,f9,f0,18,4,4,0,1,0
